uid,image,group,gingiva_mask_iou,gingiva_boundary_iou,gingiva_n_columns_gt,gingiva_n_columns_pred,gingiva_n_columns_both,gingiva_columns_missed_frac,gingiva_columns_spurious_frac,gingiva_top_edge_mae_px,gingiva_top_edge_median_px,gingiva_top_edge_bias_px,gingiva_bottom_edge_mae_px,gingiva_bottom_edge_median_px,gingiva_bottom_edge_bias_px,gingiva_thickness_mae_px,lip_mask_iou,lip_boundary_iou
high/IMG_6933_jpg,IMG_6933_jpg,high,0.8726709077404979,0.40857454942654287,1028,1005,1005,0.02237354085603113,0.0,5.476616915422886,4.0,-5.408955223880597,5.750248756218905,4.0,-1.3164179104477611,8.170149253731344,0.7538675384179773,0.30904799717663667
high/IMG_6946_jpg,IMG_6946_jpg,high,0.8453090096798213,0.5121370635946867,941,938,938,0.003188097768331562,0.0,2.9573560767590616,3.0,-0.6716417910447762,5.912579957356077,4.0,1.3880597014925373,7.042643923240938,0.9352991105007832,0.49023156926966616
high/IMG_7036_jpg,IMG_7036_jpg,high,0.8775104147236212,0.3425796089029396,954,956,947,0.007337526205450734,0.009414225941422594,4.543822597676875,4.0,-3.1900739176346358,9.480464625131996,8.0,5.6874340021119325,12.666314677930306,0.8440590558462894,0.401953565994208
high/IMG_7291_jpg,IMG_7291_jpg,high,0.8143056496949882,0.2756641236549788,1016,1018,1011,0.004921259842519685,0.0068762278978389,15.021760633036598,8.0,12.434223541048468,7.747774480712166,6.0,5.055390702274975,16.03956478733927,0.5430871071883423,0.12602321774073522
high/IMG_8554_jpg,IMG_8554_jpg,high,0.8243286637498495,0.22603304811069466,1011,1008,1006,0.004945598417408506,0.001984126984126984,8.832007952286283,9.0,-8.462226640159045,8.360834990059642,7.0,-2.8976143141153083,9.274353876739562,0.8016770953049844,0.3009864094695309
high/IMG_8577_jpg,IMG_8577_jpg,high,0.8403797678525607,0.46068935663654564,1011,1051,1011,0.0,0.038058991436726926,3.492581602373887,3.0,-2.4342235410484667,6.089020771513353,5.0,-0.34619188921859545,6.479723046488625,0.8674044564929912,0.3575929644761443
high/IMG_8593_jpg,IMG_8593_jpg,high,0.8057391826923077,0.5042399097426938,854,863,847,0.00819672131147541,0.01853997682502897,2.574970484061393,2.0,-1.41086186540732,5.87603305785124,5.0,3.779220779220779,7.301062573789847,0.8049700659859288,0.3643606099597558
high/IMG_8607_jpg,IMG_8607_jpg,high,0.8909907349514011,0.44695313669711034,931,912,912,0.02040816326530612,0.0,3.3201754385964914,3.0,-2.620614035087719,7.00109649122807,5.0,0.03618421052631579,7.9660087719298245,0.6825574524986784,0.2476842806904636
high/gummy21_JPG,gummy21_JPG,high,0.8539804019741077,0.5714438274241777,611,634,598,0.02127659574468085,0.056782334384858045,1.9682274247491638,2.0,-1.1588628762541806,3.710702341137124,3.0,1.306020066889632,4.377926421404682,0.8784006826628342,0.4229618768328446
high/IMG_2522-_jpg,IMG_2522-_jpg,high,0.876267484612172,0.33194632524929213,1108,1035,1035,0.06588447653429604,0.0,4.36328502415459,4.0,4.204830917874396,8.433816425120773,6.0,-1.7072463768115942,10.478260869565217,0.895659065836966,0.29750982961992134
