uid,e_total,e_seg,e_meas,gingiva_mask_iou,gingiva_boundary_iou,gingiva_top_edge_bias_px,gingiva_bottom_edge_bias_px,gingiva_thickness_mae_px,gingiva_columns_missed_frac,gingiva_columns_spurious_frac
high/IMG_3059_jpg,-0.006703809478571632,0.17070216480032308,-0.1774059742788947,0.85308818279186,0.4492394366197183,0.5848329048843187,2.3431876606683804,5.5681233933161955,0.01643489254108723,0.0
high/IMG_2632-_jpg,2.833415735473989,-0.23255077523522205,3.0659665107092104,0.8679337113376974,0.3818688572685932,5.145263157894737,-1.7178947368421054,7.448421052631579,0.03943377148634985,0.0
high/IMG_8649_jpg,0.22689230623077794,0.04453099951312778,0.18236130671765016,0.8377883206047982,0.40716269990239506,-3.7463087248322147,-0.01476510067114094,6.306040268456376,0.0722291407222914,0.0
high/IMG_6551-_jpg,1.4237604746806634,0.014843666504376962,1.4089168081762864,0.9291970017573432,0.43789102658246437,1.695742471443406,2.0851505711318796,8.553478712357217,0.0,0.012307692307692308
high/IMG_2892_jpg,0.17812319847367575,-0.4057268844529407,0.5838500829266164,0.7912679906729919,0.365063012945984,0.7617370892018779,-4.576291079812207,7.366197183098592,0.013888888888888888,0.005834305717619603
high/gummy19_JPG,0.5860858735794613,-0.21028527547865883,0.7963711490581201,0.7529788635411053,0.37293202293202293,-2.667197452229299,2.5796178343949046,11.205414012738853,0.10157367668097282,0.024844720496894408
high/IMG_6803_jpg,0.23618786935990155,0.32161277426147805,-0.0854249049015765,0.807723010941193,0.4461368540018494,-0.25069124423963135,4.8027649769585254,9.228571428571428,0.011839708561020037,0.011839708561020037
high/IMG_6436-_jpg,0.2585939802005284,0.3265606630962701,-0.0679666828957417,0.6763470751759626,0.258390459868609,-4.18859649122807,3.942982456140351,10.169590643274853,0.2508214676889376,0.011560693641618497
high/IMG_7375_jpg,-0.09461624570028393,0.6506473817751446,-0.7452636274754285,0.7970326791772233,0.43261173184357543,-1.329268292682927,4.411308203991131,8.348115299334811,0.06818181818181818,0.0
high/IMG_2796_jpg,0.28824243467797217,-0.017317610921772975,0.30556004559974514,0.9047428401819549,0.35143652887716215,3.856489945155393,-3.520109689213894,10.641681901279707,0.004549590536851683,0.006357856494096276
high/IMG_8581_jpg,-0.06285568987424428,0.24244655290480677,-0.30530224277905105,0.7879470829668719,0.38956925675675674,-0.6980728051391863,3.3340471092077086,9.875802997858672,0.01164021164021164,0.016842105263157894
high/IMG_6876-_jpg,-0.03212559721018193,0.17812399805251156,-0.2102495952626935,0.8600901380063265,0.4063096925257256,1.3658008658008658,2.2261904761904763,5.927489177489178,0.0,0.0021598272138228943
high/IMG_6896_jpg,0.28843328464610796,0.08906199902625556,0.1993712856198524,0.8853873281105773,0.44965082225726516,-2.4784172661870505,2.9964028776978417,7.474820143884892,0.0,0.027972027972027972
high/IMG_3117_jpg,0.7842063091520111,0.004947888834792469,0.7792584203172186,0.8215411634301178,0.4279811544178781,1.078078078078078,-1.7847847847847849,9.11111111111111,0.07414272474513438,0.03197674418604651
high/IMG_2550_jpeg,-3.725705590718551,-0.05442677718271183,-3.671278813535839,0.8431832949376808,0.3799499390283037,1.313095238095238,-4.969047619047619,9.594047619047618,0.04869762174405436,0.0
high/IMG_6806_jpg,0.5594166260939781,-0.16822822038292662,0.7276448464769047,0.9141845736884316,0.5807259073842302,0.569280343716434,-1.7626208378088077,5.571428571428571,0.0,0.008519701810436636
high/IMG_6946_jpg,0.2864475345659516,0.1929676645568874,0.09347987000906421,0.8453391407936862,0.512210891350986,-0.6716417910447762,1.3784648187633262,7.039445628997868,0.003188097768331562,0.0
high/IMG_2749-_jpg,0.3261335316447185,-0.3067691077571024,0.6329026394018209,0.782703113135915,0.3067551205731006,6.402266288951841,-2.4787535410764874,10.686496694995279,0.02933088909257562,0.0
high/IMG_2616_jpg,1.2831031595238942,-0.16328033154813415,1.4463834910720283,0.8857247337386296,0.3494854400295353,2.96221198156682,-1.847004608294931,11.710599078341014,0.012738853503184714,0.0
high/gummy21_JPG,0.30009487082051844,-0.25976416382657863,0.5598590346470971,0.8539804019741077,0.5714438274241777,-1.1588628762541806,1.306020066889632,4.377926421404682,0.02127659574468085,0.056782334384858045
high/IMG_3172_jpg,0.3620481944164071,0.1929676645568872,0.16908052985951993,0.8188598899259477,0.40383216104778075,2.5937813440320965,5.682046138415246,8.562688064192578,0.003996003996003996,0.007960199004975124
high/IMG_6942_jpg,0.44872439467528036,0.24739444173959857,0.2013299529356818,0.9081043234727814,0.5167697208169384,1.1398907103825138,-0.774863387978142,6.306010928961749,0.00974025974025974,0.0
high/IMG_2522-_jpg,0.1174199253462529,-0.10885355436542277,0.22627347971167566,0.8762074938213286,0.3317332545602245,4.204830917874396,-1.7140096618357488,10.485024154589372,0.06588447653429604,0.0
high/IMG_3827-_jpg,0.17324719652618636,-0.4205705509573172,0.5938177474835036,0.8205211832621245,0.36034384298638455,5.5619266055045875,-2.0561926605504586,9.060779816513762,0.05010893246187364,0.0
high/IMG_2918_jpg,0.8218010889313752,0.25729021940918284,0.5645108695221923,0.8070956621660442,0.41490614167048206,-0.12433155080213903,3.1377005347593583,8.13903743315508,0.14416475972540047,0.0
high/IMG_8607_jpg,-0.29065160727220807,0.3760395514441903,-0.6666911587163984,0.8910082982835057,0.44700985236426793,-2.620614035087719,0.02412280701754386,7.9605263157894735,0.02040816326530612,0.0
high/IMG_6773_jpg,0.5174519876659028,-0.17070216480032308,0.6881541524662259,0.7314327536332903,0.46873526764668066,2.388121546961326,3.6740331491712706,5.946132596685083,0.09612983770287141,0.017639077340569877
