model,seed,settings,conf,max_det,imgsz,class,box_precision,box_recall,box_f1,box_map50,box_map50_95,seg_precision,seg_recall,seg_f1,seg_map50,seg_map50_95
yolo11x-seg@1024,44,operating_point,0.25,20,1024.0,diseti,0.6746166950596252,0.678082191780822,0.6763450042698549,0.5655342903576985,0.2551529600448505,0.6541737649063032,0.6575342465753424,0.6558497011101622,0.5561006700605805,0.2291262335519484
yolo11x-seg@1024,44,operating_point,0.25,20,1024.0,dudak,0.9895287958115184,0.9947368421052633,0.9921259842519684,0.9911163266534272,0.7182482377444276,0.9790575916230366,0.9842105263157894,0.9816272965879264,0.9811028876747891,0.6851337988893895
yolo11x-seg@1024,44,operating_point,0.25,20,1024.0,all,0.8320727454355717,0.8364095169430426,,0.7783253085055628,0.486700598894639,0.8166156782646699,0.8208723864455659,,0.7686017788676849,0.4571300162206689
yolo11x-seg,42,standard,0.001,300,,diseti,0.6723411124400533,0.6008294642856464,0.6345769495293719,0.6068462051156844,0.2591685171987219,0.5811349444706954,0.5202768393864284,0.5490245457650601,0.5074905803639407,0.2018404135377939
yolo11x-seg,42,standard,0.001,300,,dudak,0.9775217296822304,0.9894736842105264,0.9834613954186447,0.9916659466465064,0.7342307028415037,0.9722570066095648,0.9842105263157894,0.978197249978002,0.981650028150192,0.6825600313638811
yolo11x-seg,42,standard,0.001,300,,all,0.8249314210611418,0.7951515742480864,,0.7992560758810954,0.4966996100201127,0.7766959755401301,0.752243682851109,,0.7445703042570664,0.4422002224508374
yolo11x-seg,42,operating_point,0.25,20,,diseti,0.6889284157181685,0.6105586158833899,0.6473803427267957,0.5449472124357055,0.2378323655294729,0.5968610481195353,0.5349198529446771,0.5641954618394704,0.4383251073517739,0.1726443233743785
yolo11x-seg,42,operating_point,0.25,20,,dudak,0.9842931937172776,0.9894736842105264,0.9868766404199476,0.9820212765957448,0.7306680265922555,0.9790575916230366,0.9842105263157894,0.9816272965879264,0.981650028150192,0.68172892025277
yolo11x-seg,42,operating_point,0.25,20,,all,0.836610804717723,0.800016150046958,,0.7634842445157253,0.4842501960608641,0.787959319871286,0.7595651896302333,,0.7099875677509829,0.4271866218135742
yolo11x-seg,43,standard,0.001,300,,diseti,0.6504578904521819,0.6061643835616438,0.6275305067438524,0.6013084891925143,0.2521543281236768,0.5976164853692352,0.4897260273972603,0.5383185957520606,0.5183829597410711,0.2059887497529199
yolo11x-seg,43,standard,0.001,300,,dudak,0.952774369283001,1.0,0.9758161355147554,0.9918650265957448,0.7201995360741054,0.9428329926502091,0.9789473684210528,0.960550847237264,0.9801053746638378,0.6849288310723505
yolo11x-seg,43,standard,0.001,300,,all,0.8016161298675915,0.803082191780822,,0.7965867578941297,0.486176932098891,0.7702247390097221,0.7343366979091565,,0.7492441672024545,0.4454587904126351
yolo11x-seg,43,operating_point,0.25,20,,diseti,0.6748582230623819,0.6113013698630136,0.6415094339622641,0.5140235598064367,0.2204280653840769,0.5784499054820416,0.523972602739726,0.549865229110512,0.4164630240404318,0.167731908774338
yolo11x-seg,43,operating_point,0.25,20,,dudak,0.9743589743589745,1.0,0.9870129870129868,0.9919999999999995,0.7135433201669209,0.958974358974359,0.9842105263157894,0.9714285714285716,0.9803507649079056,0.6850325201594922
yolo11x-seg,43,operating_point,0.25,20,,all,0.8246085987106782,0.8056506849315068,,0.7530117799032181,0.4669856927754988,0.7687121322282002,0.7540915645277577,,0.6984068944741688,0.4263822144669151
yolo11x-seg,44,standard,0.001,300,,diseti,0.6526547815290805,0.6177474670951145,0.634721543690168,0.6021779003196054,0.2662678968253675,0.5750016423684166,0.4794520547945205,0.5228977235994492,0.4794187972338071,0.1846619368579964
